1	范曾维	18870526696	36220120021004021X	18	男
2	周尊义	17251416269	230883199205277192	29	男
3	元夏青	15183398652	44128419590505506X	62	女
4	姜元群	14361312046	130406197903073878	42	男
5	李媛媛	14876144294	653122196902184182	52	女
6	许惠慧	15113538453	150207195704238449	64	女
7	施凤元	15420826741	32048119940905684X	27	女
8	李贞珍	15268905739	220183197005072214	51	男
9	王惠芳	13182725114	522323196406178741	57	女
10	广莫芬	13521164174	222404195801105340	63	女
11	韩节玉	13641089334	520302198111240750	40	男
12	孙伊萍	13835484842	410105200605143785	15	女
13	吕龙婷	17729231766	640402199108047930	30	男
14	沈应龙	14655569200	440901196802279934	53	男
15	姜春萍	17657655267	340223195910090399	62	男
16	严妙海	13646419439	320684195811118553	63	男
17	柏盼夏	15611611769	430503199502151376	26	男
18	石静晶	13330986482	530628198101261429	40	女
19	施安元	17860820314	371322199209012564	29	女
20	方哲杰	13220531612	654221197409130994	47	男
21	李晓云	16010260406	15072119810410607X	40	男
22	苏明慧	15865950650	152224197607098840	45	女
23	郑静元	15815740894	350625200706222489	14	女
24	沈庆黎	18294844519	34100320010824677X	20	男
25	陈翠红	15781677963	41021119651108735X	56	男
26	郑翠柔	17444814250	341601197605183760	45	女
27	陈香薇	14970124254	51010120070913147X	14	男
28	许胜敏	17231983292	623027196211143534	59	男
29	陈敏元	14621783326	450329196806094668	53	女
30	赵高彭	14930011018	530822197911229891	42	男
31	华洪丽	17729722343	510922198608122828	35	女
32	许美琳	17374980302	440604200503185569	16	女
33	赵凌珍	15134370787	370684196702084642	54	女
34	吕南莲	15290353767	130321199607265565	25	女
35	张佳玲	13292939157	621225198807151944	33	女
36	周英哲	15398552985	361023199705133814	24	男
37	云香秀	13886038878	320612197708012205	44	女
38	朱之山	17236442485	330282199010061548	31	女
39	金春燕	18342552619	150302200306251581	18	女
40	郝春燕	14834836636	513436196211223756	59	男
41	姜太红	13910079065	610632199307104794	28	男
42	王计香	15922675081	513333200209107865	19	女
43	杨代云	13229123649	360112198211118316	39	男
44	李梓涵	13488617569	331126196803026233	53	男
45	孔海燕	14817598459	210403196208210830	59	男
46	施安琪	13353469373	420503198503071865	36	女
47	金心敏	14532892641	340802198610035835	35	男
48	吴昭娣	15545687923	360725200104144599	20	男
49	尤半雪	18051216960	500152196607163031	55	男
50	许冷安	13913805977	130637200405235731	17	男
51	尤妙海	15421143209	530102197202239030	49	男
52	华灵竹	14454084538	650205196306164923	58	女
53	孔婷婷	17472326046	520326197809239424	43	女
54	孔代云	14042347621	370613200410048774	17	男
55	陈之柔	14538412134	341324198410244423	37	女
56	苗谷山	15981607631	230709197003203613	51	男
57	张梅梅	13843795462	360827199804116954	23	男
58	杨翠柔	17396692778	610331195805177098	63	男
59	卫大芬	15065722155	220582198604120169	35	女
60	李兰兰	15912931224	520628198509181877	36	男
61	周念梅	13374124920	220323199003114461	31	女
62	王子彤	16058595476	653129200606239699	15	男
63	陈冰彤	17141867090	331004200003127322	21	女
64	郑婷婷	15735269450	652924199101262899	30	男
65	杨子彤	13776713819	210181199208119785	29	女
66	王元群	17996277317	440233198101116667	40	女
67	施兰兰	17869920191	542521199603270606	25	女
68	陈庆黎	13463934568	45080219620502168X	59	女
69	张千萍	15355427024	320303198707096242	34	女
70	沈欣淼	17648888638	520525196202021250	59	男
71	陈安琪	18266146166	230382198411175105	37	女
72	史雪倩	13733772815	530426199002174160	31	女
73	吕耀文	14632245663	320381196404192704	57	女
74	尤雪萍	17624037710	230201199810139735	23	男
75	吕雪萍	15375884671	150581200805032355	13	男
76	沈海燕	15735194316	430725199205097894	29	男
77	李景燕	18045200624	130708198907099171	32	男
78	郎有菊	13176052535	150627199910020999	22	男
79	韦倩倩	17874915919	211102196405241175	57	男
80	许秋荣	18244368576	341222199709231885	24	女
81	沈启英	15772548980	35080119820211277X	39	男
