1	1	范曾维	18870526696	36220120021004021X	18	男	4	39	49	30	7	3	12
2	1	范曾维	18870526696	36220120021004021X	18	男	5	21	30	7	6	3	10
3	1	范曾维	18870526696	36220120021004021X	18	男	6	18	28	12	15	5	6
4	2	周尊义	17251416269	230883199205277000	29	男	3	15	45	17	18	5	1
5	2	周尊义	17251416269	230883199205277000	29	男	5	51	45	40	7	3	6
6	2	周尊义	17251416269	230883199205277000	29	男	3	40	22	26	8	3	12
7	3	元夏青	15183398652	44128419590505506X	62	女	3	21	32	45	12	3	8
8	3	元夏青	15183398652	44128419590505506X	62	女	6	23	50	6	6	5	16
9	3	元夏青	15183398652	44128419590505506X	62	女	2	8	31	41	6	5	3
10	4	姜元群	14361312046	130406197903073000	42	男	1	2	24	32	1	5	18
11	4	姜元群	14361312046	130406197903073000	42	男	2	49	49	34	14	5	16
12	4	姜元群	14361312046	130406197903073000	42	男	6	18	6	40	13	5	1
13	5	李媛媛	14876144294	653122196902184000	52	女	4	33	19	27	3	5	14
14	5	李媛媛	14876144294	653122196902184000	52	女	4	24	4	47	14	5	6
15	5	李媛媛	14876144294	653122196902184000	52	女	6	24	2	20	2	3	7
16	6	许惠慧	15113538453	150207195704238000	64	女	1	6	38	47	2	3	12
17	6	许惠慧	15113538453	150207195704238000	64	女	7	47	13	26	10	3	2
18	6	许惠慧	15113538453	150207195704238000	64	女	1	21	19	23	17	5	3
19	7	施凤元	15420826741	32048119940905684X	27	女	5	21	20	30	17	5	14
20	7	施凤元	15420826741	32048119940905684X	27	女	2	32	44	23	2	5	15
21	7	施凤元	15420826741	32048119940905684X	27	女	3	19	26	33	7	3	12
22	8	李贞珍	15268905739	220183197005072000	51	男	3	5	44	7	6	3	10
23	8	李贞珍	15268905739	220183197005072000	51	男	2	36	11	42	15	5	6
24	8	李贞珍	15268905739	220183197005072000	51	男	5	25	14	49	18	5	1
25	9	王惠芳	13182725114	522323196406178000	57	女	6	22	14	9	7	3	6
26	9	王惠芳	13182725114	522323196406178000	57	女	4	34	14	10	8	3	12
27	9	王惠芳	13182725114	522323196406178000	57	女	3	22	8	21	12	3	8
28	10	广莫芬	13521164174	222404195801105000	63	女	1	14	51	12	6	5	16
29	10	广莫芬	13521164174	222404195801105000	63	女	6	48	26	50	6	5	3
30	10	广莫芬	13521164174	222404195801105000	63	女	5	26	37	38	1	5	18
31	11	韩节玉	13641089334	520302198111240000	40	男	3	44	16	10	14	5	16
32	11	韩节玉	13641089334	520302198111240000	40	男	2	44	6	3	13	5	1
33	11	韩节玉	13641089334	520302198111240000	40	男	6	38	5	51	3	5	14
34	12	孙伊萍	13835484842	410105200605143000	15	女	7	37	1	40	14	5	6
35	12	孙伊萍	13835484842	410105200605143000	15	女	6	37	29	36	2	3	7
36	12	孙伊萍	13835484842	410105200605143000	15	女	4	6	33	13	2	3	12
37	13	吕龙婷	17729231766	640402199108047000	30	男	5	26	20	50	10	3	2
38	13	吕龙婷	17729231766	640402199108047000	30	男	1	51	14	19	17	5	3
39	13	吕龙婷	17729231766	640402199108047000	30	男	3	28	9	25	17	5	14
40	14	沈应龙	14655569200	440901196802279000	53	男	2	44	44	51	2	5	15
41	14	沈应龙	14655569200	440901196802279000	53	男	4	50	38	24	7	3	12
42	14	沈应龙	14655569200	440901196802279000	53	男	4	33	43	50	6	3	10
43	15	姜春萍	17657655267	340223195910090000	62	男	5	28	21	37	15	5	6
44	15	姜春萍	17657655267	340223195910090000	62	男	2	1	36	17	18	5	1
45	15	姜春萍	17657655267	340223195910090000	62	男	7	7	28	2	7	3	6
46	16	严妙海	13646419439	320684195811118000	63	男	6	42	16	12	8	3	12
47	16	严妙海	13646419439	320684195811118000	63	男	1	27	43	3	12	3	8
48	16	严妙海	13646419439	320684195811118000	63	男	3	51	29	51	6	5	16
49	17	柏盼夏	15611611769	430503199502151000	26	男	2	49	15	41	6	5	3
50	17	柏盼夏	15611611769	430503199502151000	26	男	5	11	47	43	1	5	18
51	17	柏盼夏	15611611769	430503199502151000	26	男	2	9	20	39	14	5	16
52	18	石静晶	13330986482	530628198101261000	40	女	7	22	16	24	13	5	1
53	18	石静晶	13330986482	530628198101261000	40	女	3	12	7	5	3	5	14
54	18	石静晶	13330986482	530628198101261000	40	女	2	35	10	34	14	5	6
55	19	施安元	17860820314	371322199209012000	29	女	6	22	4	5	2	3	7
56	19	施安元	17860820314	371322199209012000	29	女	7	2	20	13	2	3	12
57	19	施安元	17860820314	371322199209012000	29	女	4	33	21	26	10	3	2
58	20	方哲杰	13220531612	654221197409130000	47	男	6	22	39	15	17	5	3
59	20	方哲杰	13220531612	654221197409130000	47	男	5	18	35	43	17	5	14
60	20	方哲杰	13220531612	654221197409130000	47	男	6	44	21	21	2	5	15
61	21	李晓云	16010260406	15072119810410607X	40	男	7	7	35	4	7	3	12
62	21	李晓云	16010260406	15072119810410607X	40	男	2	12	25	28	6	3	10
63	21	李晓云	16010260406	15072119810410607X	40	男	1	3	43	13	15	5	6
64	22	苏明慧	15865950650	152224197607098000	45	女	3	32	46	21	18	5	1
65	22	苏明慧	15865950650	152224197607098000	45	女	1	30	43	43	7	3	6
66	22	苏明慧	15865950650	152224197607098000	45	女	5	51	41	29	8	3	12
67	23	郑静元	15815740894	350625200706222000	14	女	6	47	20	5	12	3	8
68	23	郑静元	15815740894	350625200706222000	14	女	7	22	10	5	6	5	16
69	23	郑静元	15815740894	350625200706222000	14	女	7	30	28	25	6	5	3
70	24	沈庆黎	18294844519	34100320010824677X	20	男	1	29	18	43	1	5	18
71	24	沈庆黎	18294844519	34100320010824677X	20	男	4	3	41	3	14	5	16
72	24	沈庆黎	18294844519	34100320010824677X	20	男	1	36	39	2	13	5	1
73	25	陈翠红	15781677963	41021119651108735X	56	男	7	28	47	19	3	5	14
74	25	陈翠红	15781677963	41021119651108735X	56	男	5	40	43	37	14	5	6
75	25	陈翠红	15781677963	41021119651108735X	56	男	1	7	5	16	2	3	7
76	26	郑翠柔	17444814250	341601197605183000	45	女	6	16	32	6	2	3	12
77	26	郑翠柔	17444814250	341601197605183000	45	女	1	8	20	40	10	3	2
78	26	郑翠柔	17444814250	341601197605183000	45	女	3	39	6	4	17	5	3
79	27	陈香薇	14970124254	51010120070913147X	14	男	4	15	42	20	17	5	14
80	27	陈香薇	14970124254	51010120070913147X	14	男	4	3	6	10	2	5	15
81	27	陈香薇	14970124254	51010120070913147X	14	男	1	45	51	19	7	3	12
82	28	许胜敏	17231983292	623027196211143000	59	男	5	21	29	8	6	3	10
83	28	许胜敏	17231983292	623027196211143000	59	男	1	18	18	18	15	5	6
84	28	许胜敏	17231983292	623027196211143000	59	男	7	14	46	17	18	5	1
85	29	陈敏元	14621783326	450329196806094000	53	女	5	44	37	48	7	3	6
86	29	陈敏元	14621783326	450329196806094000	53	女	4	16	38	45	8	3	12
87	29	陈敏元	14621783326	450329196806094000	53	女	6	20	24	3	12	3	8
88	30	赵高彭	14930011018	530822197911229000	42	男	6	41	7	46	6	5	16
89	30	赵高彭	14930011018	530822197911229000	42	男	4	4	6	21	6	5	3
90	30	赵高彭	14930011018	530822197911229000	42	男	2	34	6	5	1	5	18
91	31	华洪丽	17729722343	510922198608122000	35	女	7	21	6	42	14	5	16
92	31	华洪丽	17729722343	510922198608122000	35	女	2	7	1	14	13	5	1
93	31	华洪丽	17729722343	510922198608122000	35	女	1	31	18	1	3	5	14
94	32	许美琳	17374980302	440604200503185000	16	女	7	35	16	22	14	5	6
95	32	许美琳	17374980302	440604200503185000	16	女	1	15	25	13	2	3	7
96	32	许美琳	17374980302	440604200503185000	16	女	2	45	26	28	2	3	12
97	33	赵凌珍	15134370787	370684196702084000	54	女	6	15	15	43	10	3	2
98	33	赵凌珍	15134370787	370684196702084000	54	女	5	4	22	4	17	5	3
99	33	赵凌珍	15134370787	370684196702084000	54	女	3	7	17	20	17	5	14
100	34	吕南莲	15290353767	130321199607265000	25	女	6	17	13	34	2	5	15
101	34	吕南莲	15290353767	130321199607265000	25	女	3	33	49	26	7	3	12
102	34	吕南莲	15290353767	130321199607265000	25	女	7	42	31	2	6	3	10
103	35	张佳玲	13292939157	621225198807151000	33	女	5	34	20	2	15	5	6
104	35	张佳玲	13292939157	621225198807151000	33	女	7	28	47	31	18	5	1
105	35	张佳玲	13292939157	621225198807151000	33	女	1	43	9	12	7	3	6
106	36	周英哲	15398552985	361023199705133000	24	男	3	17	46	25	8	3	12
107	36	周英哲	15398552985	361023199705133000	24	男	2	48	19	20	12	3	8
108	36	周英哲	15398552985	361023199705133000	24	男	5	18	30	50	6	5	16
109	37	云香秀	13886038878	320612197708012000	44	女	6	9	26	49	6	5	3
110	37	云香秀	13886038878	320612197708012000	44	女	4	30	24	27	1	5	18
111	37	云香秀	13886038878	320612197708012000	44	女	2	22	43	46	14	5	16
112	38	朱之山	17236442485	330282199010061000	31	女	1	46	30	45	13	5	1
